ig_book,ig_no,phi_no,header,location,tqp,taq,cross_cen,tpq_bce,taq_bce,tpq_cen,taq_cen,analysis_cen,token
IG VII,317,143794,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 317",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,318,143795,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 318",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,319,143796,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 319",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,321,143798,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 321",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,322,143799,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 322",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,323,143800,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 323 — AD 28 A (1973) 189, 21 — SEG 26.603",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,324,143801,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 324",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,328,143805,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 328",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,333,143810,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 333",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,335,143812,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 335",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,337,143814,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 337",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,338,143815,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 338",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,339,143816,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 339",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,340,143817,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — 239-229 BC — IG VII 340",Oropos,239,229,FALSE,TRUE,TRUE,300,300,300,ισοτελειαν
IG VII,341,143818,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 230 BC — IG VII 341",Oropos,230,230,FALSE,TRUE,TRUE,300,300,300,ισοτελειαν
IG VII,342,143819,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 230 BC — IG VII 342",Oropos,230,230,FALSE,TRUE,TRUE,300,300,300,ισοτελειαν
IG VII,343,143820,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 230 BC — IG VII 343",Oropos,230,230,FALSE,TRUE,TRUE,300,300,300,ισοτελειαν
IG VII,344,143821,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — 239-229 BC — IG VII 344",Oropos,239,229,FALSE,TRUE,TRUE,300,300,300,ισοτελειαν
IG VII,346,143823,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 346",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,347,143824,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 347",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,348,143825,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 348",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,352,143829,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 352 — ArchEph (1919) 82, 120 — SEG 1.124",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ϝισοτελιαν
IG VII,353,143830,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — 228-226 BC or later — IG VII 353",Oropos,228,226,FALSE,TRUE,TRUE,300,300,300,ισοτελειαν
IG VII,354,143831,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 354",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,355,143832,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 355",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,356,143833,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 356",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,357,143834,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — bef. 202 BC — IG VII 357",Oropos,NA,202,NA,TRUE,TRUE,NA,300,300,ισοτελειαν
